Stock URL,Stock Name,Stock Index,Isin Code,Market/Segment,Sector,Ftse Indices
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004370463.html?lang=en,Retelit,LIT,IT0004370463,STAR,Telecommunications,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Telecommunications, FTSE Italia All-Share Telecommunications"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005418204.html?lang=en,Reti,RETI,IT0005418204,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001402269.html?lang=en,Risanamento,RN,IT0001402269,MTA,Real Estate,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Financials, FTSE Italia Real Estate"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001008876.html?lang=en,Roma,ASR,IT0001008876,MTA,Travel & Leisure,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Travel and Leisure"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0001017851.html?lang=en,Rosetti Marino,YRM,IT0001017851,AIM ITALIA,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004297575.html?lang=en,Rosss,ROS,IT0004297575,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE0007037129.html?lang=en,Rwe,RWE,DE0007037129,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001042610.html?lang=en,Sabaf,SAB,IT0001042610,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001029492.html?lang=en,Saes Getters,SG,IT0001029492,STAR,Industrial Goods & Services,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Industrials, FTSE Italia All-Share Industrial Goods and Services"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001037081.html?lang=en,Saes Getters Rsp,SGR,IT0001037081,STAR,Industrial Goods & Services,FTSE Italia STAR
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004604762.html?lang=en,Safilo Group,SFL,IT0004604762,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/FR0000073272.html?lang=en,Safran,SAF,FR0000073272,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005252140.html?lang=en,Saipem,SPM,IT0005252140,MTA,Oil & Gas,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE MIB, FTSE Italia All-Share Oil and Gas, FTSE Italia All-Share Oil and Gas"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005252165.html?lang=en,Saipem Rcv,SPMR,IT0005252165,MTA,Oil & Gas,
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005388266.html?lang=en,Salcef Group,SCF,IT0005388266,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004712375.html?lang=en,Salvatore Ferragamo,SFER,IT0004712375,MTA,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0003549422.html?lang=en,Sanlorenzo,SL,IT0003549422,STAR,Personal & Household Goods,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Mid Cap, FTSE Italia STAR, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Personal and Household Goods"
